Date;Secteur;Commentaire semaine;Commentaire jour;Code_entrée;Entrée;Code_plat;Plat;Code_légumes;Légumes;Code_laitage;Laitage;Code_dessert;Dessert;Code_gouter;Gouter;Code_gouter_02;Gouter_02;is_vege_day;Entrée_bio;Entrée_dur;Entrée_loc;Plat_bio;Plat_dur;Plat_loc;Légumes_bio;Légumes_dur;Légumes_loc;Laitage_bio;Laitage_dur;Laitage_loc;Dessert_bio;Dessert_dur;Dessert_loc;Gouter_bio;Gouter_dur;Gouter_loc;Gouter_02_bio;Gouter_02_dur;Gouter_02_loc;Année;AnnéeISO;Semaine;has_vege_week
2016-04-05;3;VACANCES SCOLAIRES;;BBC;Pâté de campagne;;Filet de saumon sauce hollandaise;EBR;Purée de pommes de terre;;Emmenthal;FLS;Poire;;Madeleine/ compote/ lait;;;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;14;False
2016-04-06;1;VACANCES SCOLAIRES;;;Asperges sauce mousseline;;Rôti de veau au jus;;Jardinire de légumes;;Morbier;FLS;Kiwi;;Petits suisses/ galettes bretonnes;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;14;False
2016-04-07;1;VACANCES SCOLAIRES;;AB;Carottes au citron;;Poulet label rôti;;Frites;;Edam;;Compote pommes, cassis;;Pain/ confiture/ lait;;;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;14;False
2016-04-08;3;VACANCES SCOLAIRES;;AB;Betteraves crues persillées;VPF, EBR;Sauté de porc au paprika;;Choux braisés;EBR;Fromage blanc;;;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;14;False
2016-04-11;2;VACANCES SCOLAIRES;;;Chou rouge aux raisins;VPF;Timbale milanaise;;;EBR;Yaourt aux myrtilles;;;;Pain/ beurre/ barre chocolatée/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;15;False
2016-04-12;1;VACANCES SCOLAIRES;;;Potage de légumes;;Filet de lieu sauce crevettes;AB;Purée de pommes de terre persillées;;Saint Nectaire;;Orange;;Pain d'épices/ compote/ lait;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;15;False
2016-04-13;2;VACANCES SCOLAIRES;;;Salade de printemps (radis, maïs, salade, concombre, poivron);;Blanquette de veau;AB;Riz pilaf;;Ile flottante;;;AB;Yaourt nature sucré/ orange;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;2016;2016;15;False
2016-04-14;3;VACANCES SCOLAIRES;;;Taboulé;VPF;Rôti de porc au jus;;Brocolis panachés;;Petits suisses sucrés;;;FLS;Pain/ beurre/ poire/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;15;False
2016-04-15;2;VACANCES SCOLAIRES;;AB;Salade de pommes de terre/ thon;VBF;Steak haché;;Petits pois à la franaise;;Fromage ail et fines herbes;;Banane;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;15;False
2016-04-18;1;;;;Radis;VBF;Lasagnes de bœuf;;Salade verte;;Crme vanille;;;;Pain/ confiture/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;16;False
2016-04-19;1;;;;Crme de carottes;AB;Omelette;;Epinards panachés à la crme;;Camembert;FLS;Pomme;;Pain/ beurre/ barre chocolatée/ lait;;;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;16;False
2016-04-20;2;;;AB;Betteraves crues mimosa;PLC;Paëlla aux légumes;;Salade verte;AB;Yaourt nature sucré;;;;Mini quartre quarts/ compote;;;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;2016;2016;16;False
