Plat_unique,vegetarien,commentaire,_debug_note
sauté de dinde forestier,False,sûr,matched_nonveg:dinde
"filet de lieu, sauce bonne femme",False,sûr,matched_nonveg:filet
"œufs, sauce aurore",False,incertain,fallback
émincé de poulet au curry,False,sûr,matched_nonveg:poulet
gratin de pommes de terres ail et fines herbes,True,incertain_but_checked,preserved
santé de dinde forestier,False,sûr,matched_nonveg:dinde
"escalope de dinde label, sauce chasseur",False,sûr,matched_nonveg:escalope
"filet de saumon, sauce oseille",False,sûr,matched_nonveg:filet
sauté de chapon et sa sauce,False,incertain,fallback
"galette, tomates, fromage",True,sûr,matched_veg:fromage
"filet de lieu, sauce dieppoise",False,sûr,matched_nonveg:filet
chili de légumes,True,sûr,matched_veg:légumes
"rôti de veau, sauce châtaigne",False,sûr,matched_nonveg:veau
"filet de lieu, sauce hollandaise",False,sûr,matched_nonveg:filet
rôti de dinde label sauce charcutière,False,sûr,matched_nonveg:rôti
escalope de dinde label sauce champignons,False,sûr,matched_nonveg:escalope
de dinde label au caramel,False,sûr,matched_nonveg:dinde
rôti de dinde label sauce dijonnaise,False,sûr,matched_nonveg:rôti
parmentier de légumes d'hiver,True,sûr,matched_veg:légumes
filet de poulet sauce louisiane,False,sûr,matched_nonveg:poulet
sauté de porc sauce aux marrons,False,sûr,matched_nonveg:porc
sauté de dinde label,False,sûr,matched_nonveg:dinde
galette/ tomate/ fromage,True,sûr,matched_veg:fromage
œuf sauce aurore,True,sûr,matched_veg:œuf
escalope de dinde label sauce barbecue,False,sûr,matched_nonveg:escalope
croziflette,False,incertain,short_unknown
jambon braisé sauce champignons,False,sûr,matched_nonveg:jambon
de dinde au paprika,False,sûr,matched_nonveg:dinde
rôti de dinde label aux raisins,False,sûr,matched_nonveg:rôti
sauté de poulet yassa,False,sûr,matched_nonveg:poulet
rôti de dinde sauce diable,False,sûr,matched_nonveg:rôti
aiguillettes poulet sauce louisiane,False,sûr,matched_nonveg:poulet
poulet label,False,sûr,matched_nonveg:poulet
tartiflettes (dés de porc,False,sûr,matched_nonveg:porc
de dinde),False,sûr,matched_nonveg:dinde
sauté de dinde label sauce chasseur,False,sûr,matched_nonveg:dinde
de dinde label au jus,False,sûr,matched_nonveg:dinde
filet de poulet sauce crème,False,sûr,matched_nonveg:poulet
œuf dur/ sauce aurore,True,sûr,matched_veg:œuf
sauté d'agneau irish stew,False,sûr,matched_nonveg:agneau
rôti de dinde sauce champignons,False,sûr,matched_nonveg:rôti
bolognaise,False,sûr,matched_nonveg:bolognaise
filet de lieu dugléré,False,sûr,matched_nonveg:filet
dinde au jus,False,sûr,matched_nonveg:dinde
poulet rôti label rouge,False,sûr,matched_nonveg:poulet
pot-au-feu,False,incertain,fallback
dos de lieu sauce armoricaine,False,incertain,fallback
brandade de poisson,False,sûr,matched_fish:poisson
rougaille de saucisse,False,sûr,matched_nonveg:saucisse
sauté de poulet sauce tomate,False,sûr,matched_nonveg:poulet
rôti de dinde sauce chasseur,False,sûr,matched_nonveg:rôti
parmentier de crécy,False,incertain,preserved
saumon sauce au beurre blanc,False,sûr,matched_fish:saumon
rôti de dinde sauce paprika,False,sûr,matched_nonveg:rôti
filet de lieu sauce suchet,False,sûr,matched_nonveg:filet
egg'burger/ jus de pomme,True,incertain_but_checked,preserved
filet de lieu sauce provençale,False,sûr,matched_nonveg:filet
poisson pané/ beurre citron,False,sûr,matched_fish:poisson
sauté de poulet au curry,False,sûr,matched_nonveg:poulet
repas de reserve,False,incertain,fallback
rôti de porc 1/2 sel,False,sûr,matched_nonveg:porc
émincé de poulet basquaise,False,sûr,matched_nonveg:poulet
riz safranné aux légumes,True,sûr,matched_veg:légumes
sauté de bœuf provençale,False,sûr,matched_nonveg:bœuf
émincé de poulet au jus,False,sûr,matched_nonveg:poulet
paëlla,False,incertain,short_unknown
rôti de dinde agenais,False,sûr,matched_nonveg:rôti
"gnocchi à la romaine, sauce tomate",True,incertain_but_checked,preserved
parmentier de courgettes,False,incertain,fallback
escalope milanaise,False,sûr,matched_nonveg:escalope
gratin de pommes de terre et fromage frais,True,sûr,matched_veg:fromage
"blanc de poulet, sauce louisiane",False,sûr,matched_nonveg:poulet
de dinde froid,False,sûr,matched_nonveg:dinde
"filet de lieu, sauce tomate",False,sûr,matched_nonveg:filet
sauté de bœuf aux champignons,False,sûr,matched_nonveg:bœuf
tajine d'agneau,False,sûr,matched_nonveg:agneau
parmentier de légumes d'été,True,sûr,matched_veg:légumes
"rôti de bœuf, sauce rose",False,sûr,matched_nonveg:bœuf
"blanc de poulet, sauce barbecue",False,sûr,matched_nonveg:poulet
bœuf à la bolognaise,False,sûr,matched_nonveg:bœuf
filet de lieu sauce à l'estragon,False,sûr,matched_nonveg:filet
escalope de volaille label à la provençale,False,sûr,matched_nonveg:escalope
sauté de bœuf marocain,False,sûr,matched_nonveg:bœuf
filet de lieu sauce à la crème,False,sûr,matched_nonveg:filet
riz safrané,False,incertain,short_unknown
filet de lieu sauce méditerranéenne,False,sûr,matched_nonveg:filet
haricots blancs à la provençale,True,incertain_but_checked,preserved
blanc de poulet sauce suprême,False,sûr,matched_nonveg:poulet
sauté de dinde/ saucisse de volaille,False,sûr,matched_nonveg:saucisse
filet de lieu au beurre blanc,False,sûr,matched_nonveg:filet
gnocchis sauce tomate,True,incertain_but_checked,preserved
aiguillettes de poulet sauce suprême,False,sûr,matched_nonveg:poulet
rôti de dinde sauce forestière,False,sûr,matched_nonveg:rôti
lasagne,False,incertain,ambiguous_indicator:lasagne
rôti de dinde sauce curry,False,sûr,matched_nonveg:rôti
filet de lieu sauce curry,False,sûr,matched_nonveg:filet
kig ha farz,False,incertain,fallback
filet de lieu à la crème,False,sûr,matched_nonveg:filet
gratin de pomme de terre au fromage frais,True,sûr,matched_veg:fromage
rôti de dinde label forestière,False,sûr,matched_nonveg:rôti
omelette à la provençale,True,sûr,matched_veg:omelette
blanc de poulet à la crème,False,sûr,matched_nonveg:poulet
tajine de veau,False,sûr,matched_nonveg:veau
éffiloché de canard confit et ses pommes,False,sûr,matched_nonveg:canard
sauté de poulet sauce suprême,False,sûr,matched_nonveg:poulet
lasagnes,False,incertain,ambiguous_indicator:lasagnes
goulash de bœuf,False,sûr,matched_nonveg:bœuf
filet de lieu sauce dugléré,False,sûr,matched_nonveg:filet
escalope de dinde label au paprika,False,sûr,matched_nonveg:escalope
rôti de dinde à l'indienne,False,sûr,matched_nonveg:rôti
émincé de volaille à la crème,False,sûr,matched_nonveg:volaille
rôti de veau,False,sûr,matched_nonveg:veau
filet de lieu/ beurre ciboulette,False,sûr,matched_nonveg:filet
sauté de dinde sauce au curry,False,sûr,matched_nonveg:dinde
filet de lieu au beurre persillé,False,sûr,matched_nonveg:filet
blanc de poulet sauce normande,False,sûr,matched_nonveg:poulet
blanquette de volaille label,False,sûr,matched_nonveg:volaille
filet de lieu sauce beurre citronée,False,sûr,matched_nonveg:filet
bolognaise végétale,True,sûr_nope_tabuse,matched_nonveg:bolognaise
rôit de veau,False,sûr,matched_nonveg:veau
sauté de veau au curry,False,sûr,matched_nonveg:veau
gnocchi à la romaine,True,incertain_but_checked,preserved
filet de lieu à l'estragon,False,sûr,matched_nonveg:filet
couscous,False,incertain,ambiguous_indicator:couscous
sauté de bœuf marcocain,False,sûr,matched_nonveg:bœuf
blanc de poulet sauce paprika,False,sûr,matched_nonveg:poulet
filet de lieu/ beurre citron,False,sûr,matched_nonveg:filet
tomates cerise - salade de pommes de terre au thon,False,sûr,matched_fish:thon
salade de lentilles - dés de féta - tomates cerise,True,sûr,matched_veg:lentilles
taboulé - œuf mimosa,True,sûr,matched_veg:œuf
riz niçois - thon,False,sûr,matched_fish:thon
salade de pâtes aux trois couleurs - œuf mimosa,True,sûr,matched_veg:œuf
jambon de dinde,False,sûr,matched_nonveg:jambon
rôti de dinde froid,False,sûr,matched_nonveg:rôti
aiguillettes de poulet,False,sûr,matched_nonveg:poulet
blanc de poulet,False,sûr,matched_nonveg:poulet
filet de poulet,False,sûr,matched_nonveg:poulet
œuf dur,True,sûr,matched_veg:œuf
cordon bleu,False,incertain,short_unknown
poulet,False,sûr,matched_nonveg:poulet
roulé de saumon / mayonnaise,False,sûr,matched_fish:saumon
"veggi mix (pois chiches, lentilles)",True,sûr,matched_veg:lentilles
chili con carné,False,sûr,matched_nonveg:carné
sandwich fallafel (pain pita),True,incertain_but_checked,preserved
"galette, saucisse de porc",False,sûr,matched_nonveg:porc
filet de saumon froid,False,sûr,matched_nonveg:filet
gnocchi,True,sûr,matched_veg:gnocchi
"escalope de dinde, sauce basilic",False,sûr,matched_nonveg:escalope
pas de centre,False,incertain,fallback
escalope de porc sauce forestière,False,sûr,matched_nonveg:porc
rôti de dinde sauce barbecue,False,sûr,matched_nonveg:rôti
dos de lieu à la provençale,False,incertain,fallback
blanquette de volaille,False,sûr,matched_nonveg:volaille
saumon à l'oseille,False,sûr,matched_fish:saumon
poulet tandoori,False,sûr,matched_nonveg:poulet
"bolongnaise végétale (quinoa, carotte, oignon)",True,incertain_but_checked,fallback
pot au feu,False,incertain,fallback
filet de lieu beurre / citron,False,sûr,matched_nonveg:filet
émincé de volaille aux champignons,False,sûr,matched_nonveg:volaille
filet de lieu sauce normande,False,sûr,matched_nonveg:filet
gratin de pâtes brocoli,True,incertain_but_checked,preserved
boulette de lentilles*,True,sûr,matched_veg:lentilles
omelette*,True,sûr,matched_veg:omelette
aiguillette de blé*,False,incertain,fallback
galette de soja tomate*,True,sûr,matched_veg:galette
blanc de poulet sauce suprème,False,sûr,matched_nonveg:poulet
bolognaiseou galette de lentilles corail boulgour*,True,sûr,matched_veg:lentilles
filet de lieu beurre estragon,False,sûr,matched_nonveg:filet
sauté de veau milanaise,False,sûr,matched_nonveg:veau
galette de soja à la tomate *,True,sûr,matched_veg:galette
tortis carbonara de porc,False,sûr,matched_nonveg:porc
carbonara végétale *,False,incertain,fallback
rôti de dinde sauce piquante,False,sûr,matched_nonveg:rôti
aiguillettes de blé et carottes *,False,incertain,fallback
galette de soja au citron *,True,sûr,matched_veg:galette
émincé de volaille sauce colombo,False,sûr,matched_nonveg:volaille
omelette *,True,sûr,matched_veg:omelette
galette de tomate et fromage,True,sûr,matched_veg:fromage
lasagne de légumes*,True,sûr,matched_veg:légumes
jambon braisé à la châtaigne,False,sûr,matched_nonveg:jambon
galette de soja au citron*,True,sûr,matched_veg:galette
boulettes de lentilles*,True,sûr,matched_veg:lentilles
filet de lieu beurre ciboulette,False,sûr,matched_nonveg:filet
bolognaise végétal,True,sûr_nope_tabuse,matched_nonveg:bolognaise
parmentier de potiron,False,incertain,fallback
galette de soja citron*,True,sûr,matched_veg:galette
sauté de porc dijonais,False,sûr,matched_nonveg:porc
escalope de dinde sauce crème,False,sûr,matched_nonveg:escalope
boulette de lentilles corail*,True,sûr,matched_veg:lentilles
émincé de dinde,False,sûr,matched_nonveg:dinde
indian veggie *,True,sûr,matched_veg:veggie
jambon braisé sauce forestière,False,sûr,matched_nonveg:jambon
galette de lentilles corail boulgour*,True,sûr,matched_veg:lentilles
galette tomate fromage,True,sûr,matched_veg:fromage
aiguillettes de blé et carotte*,False,incertain,fallback
escalope de porc sauce moutarde,False,sûr,matched_nonveg:porc
galette de lentilles corail*,True,sûr,matched_veg:lentilles
ballotin de poulet aux marrons,False,sûr,matched_nonveg:poulet
nuggets de blé*,False,incertain,fallback
galette de fromage et tomate,True,sûr,matched_veg:fromage
rôti de porc au marrons,False,sûr,matched_nonveg:porc
pâtes carbonara de porc,False,sûr,matched_nonveg:porc
filet de lieu à l'oseille,False,sûr,matched_nonveg:filet
jambon braisé sauce au poivre,False,sûr,matched_nonveg:jambon
aiguillette de blé carottes*,False,incertain,fallback
escalope de dinde label,False,sûr,matched_nonveg:escalope
mélange légumineuses mexicain*,False,incertain,fallback
gratin de pâtes au brocoli,True,incertain_but_checked,preserved
escalope de porc forestière,False,sûr,matched_nonveg:porc
aiguillette de blé carotte*,False,incertain,fallback
