Plat
Rôti de porc au jus
Poulet rôti
Steak haché
Tortis bolognaise
Poisson pané
Couscous d'agneau et ses légumes
Filet de lieu beurre persillé
Bœuf bourguignon
Galette saucisse
Sot l'y laisse de dinde
Filet de saumon sauce hollandaise
Rôti de veau au jus
Poulet label rôti
Sauté de porc au paprika
Timbale milanaise
Filet de lieu sauce crevettes
Blanquette de veau
Rôti de porc au jus
Steak haché
Lasagnes de bœuf
Omelette
Paëlla aux légumes
Agneau marengo
Filet de lieu sauce crme
Sauté de porc au curry
Poulet rôti
Escalope de dinde au jus
Hachis parmentier
Filet de lieu sauce armoricaine
Sauté de poulet antillais
Poisson pané beurre citron
Rôti de porc
Saucisse grillée
Rôti de dinde au jus
Couscous de légumes
Hachis parmentier
Filet de saumon sauce beurre blanc
Poulet rôti
Filet de lieu sauce dieppoise
Gratin de boulgour
Rôti de bœuf
Rôti de porc sauce tomate
Filet de lieu sauce provenale
Timbale milanaise
Sauté de bœuf aux olives
Sauté de dinde à l'oignon
Couscous au poulet et ses légumes
Sauté de porc dijonnais
Escalope de dinde
Courgettes parmentires
Filet de saumon sauce suchet
Saucisse grillée
Rôti de dinde aux herbes
Gratin de pommes de terre au fromage fondu
Courgettes parmentires
Filet de lieu sauce grenobloise
Poulet rôti
Sauté de veau marengo
Jambon braisé froid
Paëlla aux légumes
Filet de lieu sauce poivrons
Omelette
Sauté de poulet antillais
Escalope de porc charcutire
Tortis bolognaise
Filet de lieu sauce crevettes
Poisson pané beurre citron
Poulet rôti
Sauté de dinde louisianne
Saucisse rougail
Rôti de bœuf
REPAS DE SUBSTITUTION
Rôti de porc
Steak haché
Rôti de dinde
Filet de lieu sauce tomate
Sauté de poulet colombo
Filet de saumon sauce hollandaise
Rôti de bœuf
Filet de lieu sauce crevettes
Saucisse
Hachis parmentier
Rôti de veau au jus
Poulet label rôti
Sauté de bœuf aux olives
Filet de lieu sauce moules
Couscous de légumes
Rôti de porc
Veau marengo
Escalope de porc charcutire
Poulet label rôti
Poisson pané beurre citron
Rôti de bœuf
Gratin de pommes de terre fromagé
Filet de lieu sauce beurre blanc
Sauté de porc dijonnaise
Escalope de dinde au jus
Hachis parmentier
Saucisse
Rôti de dinde
Filet de lieu sauce crme
Poulet rôti
Sauté de bœuf aux olives
Rôti de porc
Poisson pané sauce tomate
Aiguillettes de poulet provenale
Steak haché
Gratin de boulghour
Dos de cabillaud beurre citron
Lasagne de bœuf
Sauté de dinde aux olives
Rôti de dinde au jus
Poulet rôti
Gratin de pommes de terre au fromage frais
Bœuf à la marocaine
Filet de lieu sauce crème
Colombo de poulet
Sauté de porc agenais
Escalope de dinde aux herbes
Bœuf à la marocaine
Filet de saumon à l'oseille
Poulet basquaise
Saucisse
Rôti de dinde label au jus
Bœuf à la mrocaine
Filet de lieu à la grenobloise
Couscous de légumes
Rôti de porc au jus
Aiguillettes de poulet sauce tomate
Hachis parmentier
Filet de lieu sauce hollandaise
Rôti de dinde label au jus
Cassoulet
Escalope de poulet
Rôti de bœuf au jus
Filet de lieu sauce crevette
Sauté de porc caramel
Poulet à l'ananas
Paëlla aux légumes
Bœuf flamand
Filet de saumon sauce crème
Poulet rôti label
Gratin de boulgour
Jambon braisé
Steak haché
Filet de lieu sauce tomate
Tartiflette
Poisson pané beurre citron
Escalope de poulet au paprika
Sauté de porc charcutier
Rôti de veau au jus
Blanquette de veau
Lasagnes de bœuf
Dos de cabillaud sauce moules
Poulet rôti
Rôti de porc aux herbes
Filet de saumon sauce beurre blanc
Tajine d'agneau aux abricots
Couscous de légumes
Saucisse grillée
Escalope de poulet
Tortis bolognaise
Filtet de lieu sauce crevette
Rôti de porc au jus
Sauté de poulet aux pruneaux
Gratin de pommes de terre au fromage
Bœuf bourguignon
Filet de lieu sauce moules
Rôti de dinde
Poulet rôti
Escalope de porc sauce charcutière
Tortis bolognaise
Filet de lieu sauce tomate
Saucisse
Sauté de poulet basquaise
Timbale de poisson au maquereau
Hachis parmentier
Omelette
Sauté de porc à l'indienne
Boulghour au légumes
Steak haché
Rôti de dinde farci et sa sauce
Filet de saumon beurre persillé
Tartiflette
Filet de lieu sauce beurre blanc
Rôti de veau aux herbes
Sot l'y laisse de dinde
Galette saucisse
Filet de lieu sauce oseille
Rôti de porc
Timbale milanaise
Blanquette de veau à l'ancienne
Sauté de poulet agenais
Rôti de dinde
Pizza aux 4 légumes
Escalope de porc sauce charcutière
Rôti de bœuf au jus
Filet de lieu sauce tomate
Sauté de porc agenais
Poulet rôti label
Paëlla de légumes
Bœuf chasseur
Filet de saumon sauce oseille
Cassoulet
Sauté de poulet antillais
Escalope de dinde label à la crème
Tortis bolognaise
Filet de lieu sauce crevette
Émincé de dinde label aux champignons
Rôti de porc au jus
Steak haché
Rôti de bœuf au jus
Filet de lieu sauce dieppoise
Poulet rôti
Saucisse
Couscous de légumes
Rôti de bœuf au jus
Filet de lieu sauce moules
Rôti de porc au jus
Sauté de dinde label sauce louisianne
Escalope de poulet
Tajine d'agneau aux pruneaux
Filet de lieu sauce dieppoise
Poisson pané beurre citron
Timbale milanaise
Blanquette de veau
Galette saucisse
Steak haché
Poulet rôti label
Rôti de veau au jus
Escalope de dinde label sauce paprika
Tartiflette
Filet de saumon sauce béarnaise
Lasagne de légumes
Rôti de porc au jus
Dos de cabillaud beurre blanc
Hachis parmentier
Omelette
Sauté de porc charcutier
Gratin de boulghour
Aiguillettes de poulet sauce tomate
Rôti de bœuf au jus
Filet de lieu sauce crevette
Rôti de dinde label au jus
Saucisse grillée
Omelette
Hachis parmentier
Filet de lieu sauce beurre blanc
Blanquette de dinde
Rôti de porc au jus
Paëlla de légumes
Bœuf bourguignon
Filet de saumon sauce oseille
Sauté de porc à la moutarde
Poulet rôti
Timbale milanaise
Bœuf bourguignon
Filet de lieu sauce tomate
Rôti de dinde label aux herbes
Couscous de légumes
Escalope de porc
Rôti de bœuf au jus
Filet de lieu sauce dieppoise
Rôti de veau au jus
Sot l'y laisse de dinde label
Steak haché
Galette / saucisse
Filet de lieu beurre citron
Escalope de poulet aux champignons
Rôti de porc au jus
Blanquette de veau à l'ancienne
Curry d'agneau
Lasagnes de bœuf
Rôti de porc au jus
Omelette
Tajine d'agneau aux abricots
Filet de lieu sauce moules
Pizza aux légumes
Dos de cabillaud beurre persillé
Bœuf marocain
Sauté de porc agenais
Rôti de dinde label au jus
Poisson pané
Rôti de bœuf au jus
Galette saucisse
Rôti de porc au jus
Sauté de poulet antillais
Gratin de boulgour
Hachis parmentier
Filet de saumon beurre blanc
Rôti de dinde label sauce tomate
Filet de lieu sauce dieppoise
Escalope de porc charcutière
Aiguillettes de poulet aux herbes
Rôti de porc au jus
Escaloppe de dinde label dijonnaise
Rôti de bœuf au jus
Filet de lieu sauce crevette
Sot-l'y-laisse de dinde label sauce champignons
Jambon braisé au jus
Tajine de bœuf aux pruneaux
Filet de lieu sauce moules
Sauté de porc sauce charcutière
Poulet rôti label au jus
""
Tajine de bœuf aux pruneaux
Filet de saumon sauce oseille
Rôti de dinde label au jus
""
Escalope de porc aux herbes
Sauté d'agneau marengo
Filet de lieu sauce poivrons
Sauté label antillais
Rôti de porc au jus
Timbale milanaise
Rôti de bœuf au jus
