Plat_unique
rôti de porc au jus
poulet rôti
steak haché
tortis bolognaise
poisson pané
couscous d'agneau et ses légumes
filet de lieu beurre persillé
bœuf bourguignon
galette saucisse
sot l'y laisse de dinde
filet de saumon sauce hollandaise
rôti de veau au jus
poulet label rôti
sauté de porc au paprika
timbale milanaise
filet de lieu sauce crevettes
blanquette de veau
lasagnes de bœuf
omelette
paëlla aux légumes
agneau marengo
filet de lieu sauce crme
sauté de porc au curry
escalope de dinde au jus
hachis parmentier
filet de lieu sauce armoricaine
sauté de poulet antillais
poisson pané beurre citron
rôti de porc
saucisse grillée
rôti de dinde au jus
couscous de légumes
filet de saumon sauce beurre blanc
filet de lieu sauce dieppoise
gratin de boulgour
rôti de bœuf
rôti de porc sauce tomate
filet de lieu sauce provenale
sauté de bœuf aux olives
sauté de dinde à l'oignon
couscous au poulet et ses légumes
sauté de porc dijonnais
escalope de dinde
courgettes parmentires
filet de saumon sauce suchet
rôti de dinde aux herbes
gratin de pommes de terre au fromage fondu
filet de lieu sauce grenobloise
sauté de veau marengo
jambon braisé froid
filet de lieu sauce poivrons
escalope de porc charcutire
sauté de dinde louisianne
saucisse rougail
repas de substitution
rôti de dinde
filet de lieu sauce tomate
sauté de poulet colombo
saucisse
filet de lieu sauce moules
veau marengo
gratin de pommes de terre fromagé
filet de lieu sauce beurre blanc
sauté de porc dijonnaise
poisson pané sauce tomate
aiguillettes de poulet provenale
gratin de boulghour
dos de cabillaud beurre citron
lasagne de bœuf
sauté de dinde aux olives
gratin de pommes de terre au fromage frais
bœuf à la marocaine
filet de lieu sauce crème
colombo de poulet
sauté de porc agenais
escalope de dinde aux herbes
filet de saumon à l'oseille
poulet basquaise
rôti de dinde label au jus
bœuf à la mrocaine
filet de lieu à la grenobloise
aiguillettes de poulet sauce tomate
filet de lieu sauce hollandaise
cassoulet
escalope de poulet
rôti de bœuf au jus
filet de lieu sauce crevette
sauté de porc caramel
poulet à l'ananas
bœuf flamand
filet de saumon sauce crème
poulet rôti label
jambon braisé
tartiflette
escalope de poulet au paprika
sauté de porc charcutier
dos de cabillaud sauce moules
rôti de porc aux herbes
tajine d'agneau aux abricots
filtet de lieu sauce crevette
sauté de poulet aux pruneaux
gratin de pommes de terre au fromage
escalope de porc sauce charcutière
sauté de poulet basquaise
timbale de poisson au maquereau
sauté de porc à l'indienne
boulghour au légumes
rôti de dinde farci et sa sauce
filet de saumon beurre persillé
rôti de veau aux herbes
filet de lieu sauce oseille
blanquette de veau à l'ancienne
sauté de poulet agenais
pizza aux 4 légumes
paëlla de légumes
bœuf chasseur
filet de saumon sauce oseille
escalope de dinde label à la crème
émincé de dinde label aux champignons
sauté de dinde label sauce louisianne
tajine d'agneau aux pruneaux
escalope de dinde label sauce paprika
filet de saumon sauce béarnaise
lasagne de légumes
dos de cabillaud beurre blanc
blanquette de dinde
sauté de porc à la moutarde
rôti de dinde label aux herbes
escalope de porc
sot l'y laisse de dinde label
galette / saucisse
filet de lieu beurre citron
escalope de poulet aux champignons
curry d'agneau
pizza aux légumes
dos de cabillaud beurre persillé
bœuf marocain
filet de saumon beurre blanc
rôti de dinde label sauce tomate
escalope de porc charcutière
aiguillettes de poulet aux herbes
escaloppe de dinde label dijonnaise
sot-l'y-laisse de dinde label sauce champignons
jambon braisé au jus
tajine de bœuf aux pruneaux
sauté de porc sauce charcutière
poulet rôti label au jus
nan
escalope de porc aux herbes
sauté d'agneau marengo
sauté label antillais
dos de cabillaud
rôti de porc 1/2 sel/ cornichons
galette/ saucisse
filet de saumon
sauté de poulet sauce dijonnaise
escalope de dinde label au jus
aiguillettes de poulet provençale
pizza au fromage
rôti de dinde aux champignons
bœuf sauce à la marocaine
sauté de porc
de poulet agenais
tortis bolognaises
saucisse de porc
de volaille
de dinde au jus
aiguillettes de poulet sauce tomates
cassoulet (saussice de porc
de volaille)
escalope de poulet au jus
de dinde au caramel
rôti de dinde sauce madère
coquillettes bolognaises
filet de lieu sauce tomates
tartiflette de dinde
de dinde
rôti de dinde label aux châtaignes
de dinde aux herbes
dos de cabillaud sauce crevette
sauté de veau aux champignons
saucisse de volaille
tartiflette (dés de porc
dés de dinde)
rôti de dinde au jus label
poulet rôti au jus
saucisse grillée de porc
timbale de légumes
sauté de dinde à l'indienne
boulghour de légumes
rôti de dinde farci sauce champignons des bois
jambon braisé aux champignons
dos de cabillaud sauce crème
sot-l'y-laisse de dinde sauce tomate
galette saucisse de porc
timbale milanaise au jambon
lasagnes de légumes
de volaille sauce charcutière
sauté de dinde
curry
jambon braisé sauce madère
rôti de dinde label
sauté de dinde label rouge dijonnais
tajine de veau aux pruneaux
"chili aux légumes (riz, ratatouille)"
dos de cabillaud sauce hollandaise
timbale milanaise au jambon de porc
pot-au-feu et ses légumes
saucisses de porc
tartiflette aux lardons
dés de dinde
tortis à la carbonara (lardons
volaille dijonnaise
filet de saumon à l’oseille
navarin d'agneau
filet de lieu/ beurre persillé
rôti de dinde sauce aux champignons
escaloppe de dinde/ sauce charcutière
sauté de bœuf flamand
filet de lieu/ sauce tomate
escaloppe de poulet au paprika
filet de saumon/ sauce ciboulette
"émincé de volaille, sauce louisianne"
filet de lieu/ sauce moules
chili aux légumes
œufs durs/ sauce aurore
dos de cabillaud/ sauce crème
tartiflette dés de porc
sauté de poulet/ sauce aux champignons
filet de lieu/ sauce crevette
parmentier de légumes
poulet label au jus
"escalope de dinde label, sauce tomate"
"filet de lieu, beurre citron"
"filet de lieu, sauce beurre blanc"
rôti de bœuf froid
riz safrané aux légumes
rôti de dinde charcutière
"œufs durs, sauce aurore"
"filet de lieu, sauce provençale"
"sauté de bœuf, sauce marocaine"
courgettes parmentieres
escalope de dinde label aux herbes
galette / tomate/ fromage
paëlla de dinde
coquillettes bolognaise
semoule aux légumes de couscous
filet de lieu aux petits légumes
escalope de dinde label sauce crème
filet de lieu
sauté de poulet label marengo
sauté de dinde dijonnais
sauté de dinde label agenais
sauté de volaille à la tomate
"escalope de dinde label, sauce charcutière"
parmentier crécy
"filet de lieu, sauce beurre citron"
rôti de dinde aux herbes label
tartiflette de porc
de dinde label
"filet de lieu, sauce suchet"
sauté de poulet label antillais
rôti de dinde label agenais
galette tomate/fromage
"jambon braisé, sauce chasseur"
röti de dinde label
"filet de lieu, sauce crème"
"rôti de dinde, sauce charcutière"
sauté de dinde au jus
"sauté de dinde label, sauce paprika"
"filet de lieu, sauce dugléré"
sauté de dinde forestier
"filet de lieu, sauce bonne femme"
"œufs, sauce aurore"
émincé de poulet au curry
gratin de pommes de terres ail et fines herbes
santé de dinde forestier
"escalope de dinde label, sauce chasseur"
"filet de saumon, sauce oseille"
sauté de chapon et sa sauce
"galette, tomates, fromage"
"filet de lieu, sauce dieppoise"
chili de légumes
"rôti de veau, sauce châtaigne"
"filet de lieu, sauce hollandaise"
rôti de dinde label sauce charcutière
escalope de dinde label sauce champignons
de dinde label au caramel
rôti de dinde label sauce dijonnaise
parmentier de légumes d'hiver
filet de poulet sauce louisiane
sauté de porc sauce aux marrons
sauté de dinde label
galette/ tomate/ fromage
œuf sauce aurore
escalope de dinde label sauce barbecue
croziflette
jambon braisé sauce champignons
de dinde au paprika
rôti de dinde label aux raisins
sauté de poulet yassa
