Plat,vegetarien_bool_improved,detail
Sauté de poulet antillais,False,"[('Sauté de poulet antillais', 'meat_or_fish')]"
Poisson pané beurre citron,False,"[('Poisson pané beurre citron', 'meat_or_fish')]"
Rôti de porc,False,"[('Rôti de porc', 'meat_or_fish')]"
Saucisse grillée,False,"[('Saucisse grillée', 'meat_or_fish')]"
Rôti de dinde au jus,False,"[('Rôti de dinde au jus', 'meat_or_fish')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Hachis parmentier,False,"[('Hachis parmentier', 'ambiguous -> nonveg')]"
Filet de saumon sauce beurre blanc,False,"[('Filet de saumon sauce beurre blanc', 'meat_or_fish')]"
Poulet rôti,False,"[('Poulet rôti', 'meat_or_fish')]"
Filet de lieu sauce dieppoise,False,"[('Filet de lieu sauce dieppoise', 'ambiguous -> nonveg')]"
Gratin de boulgour,True,"[('Gratin de boulgour', 'veg_positive')]"
Rôti de bœuf,False,"[('Rôti de bœuf', 'meat_or_fish')]"
Rôti de porc sauce tomate,False,"[('Rôti de porc sauce tomate', 'meat_or_fish')]"
Filet de lieu sauce provenale,False,"[('Filet de lieu sauce proven\x8dale', 'ambiguous -> nonveg')]"
Timbale milanaise,False,"[('Timbale milanaise', 'ambiguous -> nonveg')]"
Sauté de bœuf aux olives,False,"[('Sauté de bœuf aux olives', 'meat_or_fish')]"
Sauté de dinde à l'oignon,False,"[(""Sauté de dinde à l'oignon"", 'meat_or_fish')]"
Couscous au poulet et ses légumes,False,"[('Couscous au poulet et ses légumes', 'meat_and_veg -> nonveg')]"
Sauté de porc dijonnais,False,"[('Sauté de porc dijonnais', 'meat_or_fish')]"
Escalope de dinde,False,"[('Escalope de dinde', 'meat_or_fish')]"
Courgettes parmentires,False,"[('Courgettes parmenti\x8fres', 'ambiguous -> nonveg')]"
Filet de saumon sauce suchet,False,"[('Filet de saumon sauce suchet', 'meat_or_fish')]"
Saucisse grillée,False,"[('Saucisse grillée', 'meat_or_fish')]"
Rôti de dinde aux herbes,False,"[('Rôti de dinde aux herbes', 'meat_or_fish')]"
Gratin de pommes de terre au fromage fondu,True,"[('Gratin de pommes de terre au fromage fondu', 'veg_positive')]"
Courgettes parmentires,False,"[('Courgettes parmenti\x8fres', 'ambiguous -> nonveg')]"
Filet de lieu sauce grenobloise,False,"[('Filet de lieu sauce grenobloise', 'ambiguous -> nonveg')]"
Poulet rôti,False,"[('Poulet rôti', 'meat_or_fish')]"
Sauté de veau marengo,False,"[('Sauté de veau marengo', 'meat_or_fish')]"
Jambon braisé froid,False,"[('Jambon braisé froid', 'meat_or_fish')]"
Paëlla aux légumes,True,"[('Paëlla aux légumes', 'veg_positive')]"
Filet de lieu sauce poivrons,False,"[('Filet de lieu sauce poivrons', 'ambiguous -> nonveg')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Sauté de poulet antillais,False,"[('Sauté de poulet antillais', 'meat_or_fish')]"
Escalope de porc charcutire,False,"[('Escalope de porc charcuti\x8fre', 'meat_or_fish')]"
Tortis bolognaise,False,"[('Tortis bolognaise', 'ambiguous -> nonveg')]"
Filet de lieu sauce crevettes,False,"[('Filet de lieu sauce crevettes', 'meat_or_fish')]"
Poisson pané beurre citron,False,"[('Poisson pané beurre citron', 'meat_or_fish')]"
Poulet rôti,False,"[('Poulet rôti', 'meat_or_fish')]"
Sauté de dinde louisianne,False,"[('Sauté de dinde louisianne', 'meat_or_fish')]"
Saucisse rougail,False,"[('Saucisse rougail', 'meat_or_fish')]"
Rôti de bœuf,False,"[('Rôti de bœuf', 'meat_or_fish')]"
REPAS DE SUBSTITUTION,False,garbage
Rôti de porc,False,"[('Rôti de porc', 'meat_or_fish')]"
Steak haché,False,"[('Steak haché', 'meat_or_fish')]"
Rôti de dinde,False,"[('Rôti de dinde', 'meat_or_fish')]"
Filet de lieu sauce tomate,False,"[('Filet de lieu sauce tomate', 'ambiguous -> nonveg')]"
Sauté de poulet colombo,False,"[('Sauté de poulet colombo', 'meat_or_fish')]"
Filet de saumon sauce hollandaise,False,"[('Filet de saumon sauce hollandaise', 'meat_or_fish')]"
Rôti de bœuf,False,"[('Rôti de bœuf', 'meat_or_fish')]"
Filet de lieu sauce crevettes,False,"[('Filet de lieu sauce crevettes', 'meat_or_fish')]"
Saucisse,False,"[('Saucisse', 'meat_or_fish')]"
Hachis parmentier,False,"[('Hachis parmentier', 'ambiguous -> nonveg')]"
Rôti de veau au jus,False,"[('Rôti de veau au jus', 'meat_or_fish')]"
Poulet label rôti,False,"[('Poulet label rôti', 'meat_or_fish')]"
Sauté de bœuf aux olives,False,"[('Sauté de bœuf aux olives', 'meat_or_fish')]"
Filet de lieu sauce moules,False,"[('Filet de lieu sauce moules', 'meat_or_fish')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Rôti de porc,False,"[('Rôti de porc', 'meat_or_fish')]"
Veau marengo,False,"[('Veau marengo', 'meat_or_fish')]"
Escalope de porc charcutire,False,"[('Escalope de porc charcuti\x8fre', 'meat_or_fish')]"
Poulet label rôti,False,"[('Poulet label rôti', 'meat_or_fish')]"
Poisson pané beurre citron,False,"[('Poisson pané beurre citron', 'meat_or_fish')]"
Rôti de bœuf,False,"[('Rôti de bœuf', 'meat_or_fish')]"
Gratin de pommes de terre fromagé,True,"[('Gratin de pommes de terre fromagé', 'veg_positive')]"
Filet de lieu sauce beurre blanc,False,"[('Filet de lieu sauce beurre blanc', 'ambiguous -> nonveg')]"
Sauté de porc dijonnaise,False,"[('Sauté de porc dijonnaise', 'meat_or_fish')]"
Escalope de dinde au jus,False,"[('Escalope de dinde au jus', 'meat_or_fish')]"
Hachis parmentier,False,"[('Hachis parmentier', 'ambiguous -> nonveg')]"
Saucisse,False,"[('Saucisse', 'meat_or_fish')]"
Rôti de dinde,False,"[('Rôti de dinde', 'meat_or_fish')]"
Filet de lieu sauce crme,False,"[('Filet de lieu sauce cr\x8fme', 'ambiguous -> nonveg')]"
Poulet rôti,False,"[('Poulet rôti', 'meat_or_fish')]"
Sauté de bœuf aux olives,False,"[('Sauté de bœuf aux olives', 'meat_or_fish')]"
Rôti de porc,False,"[('Rôti de porc', 'meat_or_fish')]"
Poisson pané sauce tomate,False,"[('Poisson pané sauce tomate', 'meat_or_fish')]"
Aiguillettes de poulet provenale,False,"[('Aiguillettes de poulet proven\x8dale', 'meat_or_fish')]"
Steak haché,False,"[('Steak haché', 'meat_or_fish')]"
Gratin de boulghour,True,"[('Gratin de boulghour', 'veg_positive')]"
Dos de cabillaud beurre citron,False,"[('Dos de cabillaud beurre citron', 'meat_or_fish')]"
Lasagne de bœuf,False,"[('Lasagne de bœuf', 'meat_and_veg -> nonveg')]"
Sauté de dinde aux olives,False,"[('Sauté de dinde aux olives', 'meat_or_fish')]"
Rôti de dinde au jus,False,"[('Rôti de dinde au jus', 'meat_or_fish')]"
Poulet rôti,False,"[('Poulet rôti', 'meat_or_fish')]"
Gratin de pommes de terre au fromage frais,True,"[('Gratin de pommes de terre au fromage frais', 'veg_positive')]"
Bœuf à la marocaine,False,"[('Bœuf à la marocaine', 'meat_or_fish')]"
Filet de lieu sauce crème,False,"[('Filet de lieu sauce crème', 'ambiguous -> nonveg')]"
Colombo de poulet,False,"[('Colombo de poulet', 'meat_or_fish')]"
Sauté de porc agenais,False,"[('Sauté de porc agenais', 'meat_or_fish')]"
Escalope de dinde aux herbes,False,"[('Escalope de dinde aux herbes', 'meat_or_fish')]"
Bœuf à la marocaine,False,"[('Bœuf à la marocaine', 'meat_or_fish')]"
Filet de saumon à l'oseille,False,"[(""Filet de saumon à l'oseille"", 'meat_or_fish')]"
Poulet basquaise,False,"[('Poulet basquaise', 'meat_or_fish')]"
Saucisse,False,"[('Saucisse', 'meat_or_fish')]"
Rôti de dinde label au jus,False,"[('Rôti de dinde label au jus', 'meat_or_fish')]"
Bœuf à la mrocaine,False,"[('Bœuf à la mrocaine', 'meat_or_fish')]"
Filet de lieu à la grenobloise,False,"[('Filet de lieu à la grenobloise', 'ambiguous -> nonveg')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Rôti de porc au jus,False,"[('Rôti de porc au jus', 'meat_or_fish')]"
Aiguillettes de poulet sauce tomate,False,"[('Aiguillettes de poulet sauce tomate', 'meat_or_fish')]"
Hachis parmentier,False,"[('Hachis parmentier', 'ambiguous -> nonveg')]"
Filet de lieu sauce hollandaise,False,"[('Filet de lieu sauce hollandaise', 'ambiguous -> nonveg')]"
Rôti de dinde label au jus,False,"[('Rôti de dinde label au jus', 'meat_or_fish')]"
Cassoulet,False,"[('Cassoulet', 'ambiguous -> nonveg')]"
Escalope de poulet,False,"[('Escalope de poulet', 'meat_or_fish')]"
Rôti de bœuf au jus,False,"[('Rôti de bœuf au jus', 'meat_or_fish')]"
Filet de lieu sauce crevette,False,"[('Filet de lieu sauce crevette', 'meat_or_fish')]"
Sauté de porc caramel,False,"[('Sauté de porc caramel', 'meat_or_fish')]"
Poulet à l'ananas,False,"[(""Poulet à l'ananas"", 'meat_or_fish')]"
Paëlla aux légumes,True,"[('Paëlla aux légumes', 'veg_positive')]"
Bœuf flamand,False,"[('Bœuf flamand', 'meat_or_fish')]"
Filet de saumon sauce crème,False,"[('Filet de saumon sauce crème', 'meat_or_fish')]"
Poulet rôti label,False,"[('Poulet rôti label', 'meat_or_fish')]"
Gratin de boulgour,True,"[('Gratin de boulgour', 'veg_positive')]"
Jambon braisé,False,"[('Jambon braisé', 'meat_or_fish')]"
Steak haché,False,"[('Steak haché', 'meat_or_fish')]"
Filet de lieu sauce tomate,False,"[('Filet de lieu sauce tomate', 'ambiguous -> nonveg')]"
Tartiflette,False,"[('Tartiflette', 'ambiguous -> nonveg')]"
Poisson pané beurre citron,False,"[('Poisson pané beurre citron', 'meat_or_fish')]"
Escalope de poulet au paprika,False,"[('Escalope de poulet au paprika', 'meat_or_fish')]"
Sauté de porc charcutier,False,"[('Sauté de porc charcutier', 'meat_or_fish')]"
Rôti de veau au jus,False,"[('Rôti de veau au jus', 'meat_or_fish')]"
Blanquette de veau,False,"[('Blanquette de veau', 'meat_or_fish')]"
Lasagnes de bœuf,False,"[('Lasagnes de bœuf', 'meat_or_fish')]"
Dos de cabillaud sauce moules,False,"[('Dos de cabillaud sauce moules', 'meat_or_fish')]"
Poulet rôti,False,"[('Poulet rôti', 'meat_or_fish')]"
Rôti de porc aux herbes,False,"[('Rôti de porc aux herbes', 'meat_or_fish')]"
Filet de saumon sauce beurre blanc,False,"[('Filet de saumon sauce beurre blanc', 'meat_or_fish')]"
Tajine d'agneau aux abricots,False,"[(""Tajine d'agneau aux abricots"", 'meat_or_fish')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Saucisse grillée,False,"[('Saucisse grillée', 'meat_or_fish')]"
Escalope de poulet,False,"[('Escalope de poulet', 'meat_or_fish')]"
Tortis bolognaise,False,"[('Tortis bolognaise', 'ambiguous -> nonveg')]"
Filtet de lieu sauce crevette,False,"[('Filtet de lieu sauce crevette', 'meat_or_fish')]"
Rôti de porc au jus,False,"[('Rôti de porc au jus', 'meat_or_fish')]"
Sauté de poulet aux pruneaux,False,"[('Sauté de poulet aux pruneaux', 'meat_or_fish')]"
Gratin de pommes de terre au fromage,True,"[('Gratin de pommes de terre au fromage', 'veg_positive')]"
Bœuf bourguignon,False,"[('Bœuf bourguignon', 'meat_or_fish')]"
Filet de lieu sauce moules,False,"[('Filet de lieu sauce moules', 'meat_or_fish')]"
Rôti de dinde,False,"[('Rôti de dinde', 'meat_or_fish')]"
Poulet rôti,False,"[('Poulet rôti', 'meat_or_fish')]"
Escalope de porc sauce charcutière,False,"[('Escalope de porc sauce charcutière', 'meat_or_fish')]"
Tortis bolognaise,False,"[('Tortis bolognaise', 'ambiguous -> nonveg')]"
Filet de lieu sauce tomate,False,"[('Filet de lieu sauce tomate', 'ambiguous -> nonveg')]"
Saucisse,False,"[('Saucisse', 'meat_or_fish')]"
Sauté de poulet basquaise,False,"[('Sauté de poulet basquaise', 'meat_or_fish')]"
Timbale de poisson au maquereau,False,"[('Timbale de poisson au maquereau', 'meat_or_fish')]"
Hachis parmentier,False,"[('Hachis parmentier', 'ambiguous -> nonveg')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Sauté de porc à l'indienne,False,"[(""Sauté de porc à l'indienne"", 'meat_or_fish')]"
Boulghour au légumes,True,"[('Boulghour au légumes', 'veg_positive')]"
Steak haché,False,"[('Steak haché', 'meat_or_fish')]"
Rôti de dinde farci et sa sauce,False,"[('Rôti de dinde farci et sa sauce', 'meat_or_fish')]"
Filet de saumon beurre persillé,False,"[('Filet de saumon beurre persillé', 'meat_or_fish')]"
Tartiflette,False,"[('Tartiflette', 'ambiguous -> nonveg')]"
Filet de lieu sauce beurre blanc,False,"[('Filet de lieu sauce beurre blanc', 'ambiguous -> nonveg')]"
Rôti de veau aux herbes,False,"[('Rôti de veau aux herbes', 'meat_or_fish')]"
Sot l'y laisse de dinde,False,"[(""Sot l'y laisse de dinde"", 'meat_or_fish')]"
Galette saucisse,False,"[('Galette saucisse', 'meat_and_veg -> nonveg')]"
Filet de lieu sauce oseille,False,"[('Filet de lieu sauce oseille', 'ambiguous -> nonveg')]"
Rôti de porc,False,"[('Rôti de porc', 'meat_or_fish')]"
Timbale milanaise,False,"[('Timbale milanaise', 'ambiguous -> nonveg')]"
Blanquette de veau à l'ancienne,False,"[(""Blanquette de veau à l'ancienne"", 'meat_or_fish')]"
Sauté de poulet agenais,False,"[('Sauté de poulet agenais', 'meat_or_fish')]"
Rôti de dinde,False,"[('Rôti de dinde', 'meat_or_fish')]"
Pizza aux 4 légumes,True,"[('Pizza aux 4 légumes', 'veg_positive')]"
Escalope de porc sauce charcutière,False,"[('Escalope de porc sauce charcutière', 'meat_or_fish')]"
Rôti de bœuf au jus,False,"[('Rôti de bœuf au jus', 'meat_or_fish')]"
Filet de lieu sauce tomate,False,"[('Filet de lieu sauce tomate', 'ambiguous -> nonveg')]"
Sauté de porc agenais,False,"[('Sauté de porc agenais', 'meat_or_fish')]"
Poulet rôti label,False,"[('Poulet rôti label', 'meat_or_fish')]"
Paëlla de légumes,True,"[('Paëlla de légumes', 'veg_positive')]"
Bœuf chasseur,False,"[('Bœuf chasseur', 'meat_or_fish')]"
Filet de saumon sauce oseille,False,"[('Filet de saumon sauce oseille', 'meat_or_fish')]"
Cassoulet,False,"[('Cassoulet', 'ambiguous -> nonveg')]"
Sauté de poulet antillais,False,"[('Sauté de poulet antillais', 'meat_or_fish')]"
Escalope de dinde label à la crème,False,"[('Escalope de dinde label à la crème', 'meat_or_fish')]"
Tortis bolognaise,False,"[('Tortis bolognaise', 'ambiguous -> nonveg')]"
Filet de lieu sauce crevette,False,"[('Filet de lieu sauce crevette', 'meat_or_fish')]"
Émincé de dinde label aux champignons,False,"[('Émincé de dinde label aux champignons', 'meat_or_fish')]"
Rôti de porc au jus,False,"[('Rôti de porc au jus', 'meat_or_fish')]"
Steak haché,False,"[('Steak haché', 'meat_or_fish')]"
Rôti de bœuf au jus,False,"[('Rôti de bœuf au jus', 'meat_or_fish')]"
Filet de lieu sauce dieppoise,False,"[('Filet de lieu sauce dieppoise', 'ambiguous -> nonveg')]"
Poulet rôti,False,"[('Poulet rôti', 'meat_or_fish')]"
Saucisse,False,"[('Saucisse', 'meat_or_fish')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Rôti de bœuf au jus,False,"[('Rôti de bœuf au jus', 'meat_or_fish')]"
Filet de lieu sauce moules,False,"[('Filet de lieu sauce moules', 'meat_or_fish')]"
Rôti de porc au jus,False,"[('Rôti de porc au jus', 'meat_or_fish')]"
Sauté de dinde label sauce louisianne,False,"[('Sauté de dinde label sauce louisianne', 'meat_or_fish')]"
Escalope de poulet,False,"[('Escalope de poulet', 'meat_or_fish')]"
Tajine d'agneau aux pruneaux,False,"[(""Tajine d'agneau aux pruneaux"", 'meat_or_fish')]"
Filet de lieu sauce dieppoise,False,"[('Filet de lieu sauce dieppoise', 'ambiguous -> nonveg')]"
Poisson pané beurre citron,False,"[('Poisson pané beurre citron', 'meat_or_fish')]"
Timbale milanaise,False,"[('Timbale milanaise', 'ambiguous -> nonveg')]"
Blanquette de veau,False,"[('Blanquette de veau', 'meat_or_fish')]"
Galette saucisse,False,"[('Galette saucisse', 'meat_and_veg -> nonveg')]"
Steak haché,False,"[('Steak haché', 'meat_or_fish')]"
Poulet rôti label,False,"[('Poulet rôti label', 'meat_or_fish')]"
Rôti de veau au jus,False,"[('Rôti de veau au jus', 'meat_or_fish')]"
Escalope de dinde label sauce paprika,False,"[('Escalope de dinde label sauce paprika', 'meat_or_fish')]"
Tartiflette,False,"[('Tartiflette', 'ambiguous -> nonveg')]"
Filet de saumon sauce béarnaise,False,"[('Filet de saumon sauce béarnaise', 'meat_or_fish')]"
Lasagne de légumes,True,"[('Lasagne de légumes', 'veg_positive')]"
Rôti de porc au jus,False,"[('Rôti de porc au jus', 'meat_or_fish')]"
Dos de cabillaud beurre blanc,False,"[('Dos de cabillaud beurre blanc', 'meat_or_fish')]"
Hachis parmentier,False,"[('Hachis parmentier', 'ambiguous -> nonveg')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Sauté de porc charcutier,False,"[('Sauté de porc charcutier', 'meat_or_fish')]"
Gratin de boulghour,True,"[('Gratin de boulghour', 'veg_positive')]"
Aiguillettes de poulet sauce tomate,False,"[('Aiguillettes de poulet sauce tomate', 'meat_or_fish')]"
Rôti de bœuf au jus,False,"[('Rôti de bœuf au jus', 'meat_or_fish')]"
Filet de lieu sauce crevette,False,"[('Filet de lieu sauce crevette', 'meat_or_fish')]"
Rôti de dinde label au jus,False,"[('Rôti de dinde label au jus', 'meat_or_fish')]"
Saucisse grillée,False,"[('Saucisse grillée', 'meat_or_fish')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Hachis parmentier,False,"[('Hachis parmentier', 'ambiguous -> nonveg')]"
Filet de lieu sauce beurre blanc,False,"[('Filet de lieu sauce beurre blanc', 'ambiguous -> nonveg')]"
Blanquette de dinde,False,"[('Blanquette de dinde', 'meat_or_fish')]"
Rôti de porc au jus,False,"[('Rôti de porc au jus', 'meat_or_fish')]"
Paëlla de légumes,True,"[('Paëlla de légumes', 'veg_positive')]"
Bœuf bourguignon,False,"[('Bœuf bourguignon', 'meat_or_fish')]"
Filet de saumon sauce oseille,False,"[('Filet de saumon sauce oseille', 'meat_or_fish')]"
Sauté de porc à la moutarde,False,"[('Sauté de porc à la moutarde', 'meat_or_fish')]"
Poulet rôti,False,"[('Poulet rôti', 'meat_or_fish')]"
Timbale milanaise,False,"[('Timbale milanaise', 'ambiguous -> nonveg')]"
Bœuf bourguignon,False,"[('Bœuf bourguignon', 'meat_or_fish')]"
Filet de lieu sauce tomate,False,"[('Filet de lieu sauce tomate', 'ambiguous -> nonveg')]"
Rôti de dinde label aux herbes,False,"[('Rôti de dinde label aux herbes', 'meat_or_fish')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Escalope de porc,False,"[('Escalope de porc', 'meat_or_fish')]"
Rôti de bœuf au jus,False,"[('Rôti de bœuf au jus', 'meat_or_fish')]"
Filet de lieu sauce dieppoise,False,"[('Filet de lieu sauce dieppoise', 'ambiguous -> nonveg')]"
Rôti de veau au jus,False,"[('Rôti de veau au jus', 'meat_or_fish')]"
Sot l'y laisse de dinde label,False,"[(""Sot l'y laisse de dinde label"", 'meat_or_fish')]"
Steak haché,False,"[('Steak haché', 'meat_or_fish')]"
Galette / saucisse,True,"[('Galette', 'veg_positive'), ('saucisse', 'meat_or_fish')]"
Filet de lieu beurre citron,False,"[('Filet de lieu beurre citron', 'ambiguous -> nonveg')]"
Escalope de poulet aux champignons,False,"[('Escalope de poulet aux champignons', 'meat_or_fish')]"
Rôti de porc au jus,False,"[('Rôti de porc au jus', 'meat_or_fish')]"
Blanquette de veau à l'ancienne,False,"[(""Blanquette de veau à l'ancienne"", 'meat_or_fish')]"
Curry d'agneau,False,"[(""Curry d'agneau"", 'meat_or_fish')]"
Lasagnes de bœuf,False,"[('Lasagnes de bœuf', 'meat_or_fish')]"
Rôti de porc au jus,False,"[('Rôti de porc au jus', 'meat_or_fish')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Tajine d'agneau aux abricots,False,"[(""Tajine d'agneau aux abricots"", 'meat_or_fish')]"
Filet de lieu sauce moules,False,"[('Filet de lieu sauce moules', 'meat_or_fish')]"
Pizza aux légumes,True,"[('Pizza aux légumes', 'veg_positive')]"
Dos de cabillaud beurre persillé,False,"[('Dos de cabillaud beurre persillé', 'meat_or_fish')]"
Bœuf marocain,False,"[('Bœuf marocain', 'meat_or_fish')]"
Sauté de porc agenais,False,"[('Sauté de porc agenais', 'meat_or_fish')]"
Rôti de dinde label au jus,False,"[('Rôti de dinde label au jus', 'meat_or_fish')]"
Poisson pané,False,"[('Poisson pané', 'meat_or_fish')]"
Rôti de bœuf au jus,False,"[('Rôti de bœuf au jus', 'meat_or_fish')]"
Galette saucisse,False,"[('Galette saucisse', 'meat_and_veg -> nonveg')]"
Rôti de porc au jus,False,"[('Rôti de porc au jus', 'meat_or_fish')]"
Sauté de poulet antillais,False,"[('Sauté de poulet antillais', 'meat_or_fish')]"
Gratin de boulgour,True,"[('Gratin de boulgour', 'veg_positive')]"
Hachis parmentier,False,"[('Hachis parmentier', 'ambiguous -> nonveg')]"
Filet de saumon beurre blanc,False,"[('Filet de saumon beurre blanc', 'meat_or_fish')]"
Rôti de dinde label sauce tomate,False,"[('Rôti de dinde label sauce tomate', 'meat_or_fish')]"
Filet de lieu sauce dieppoise,False,"[('Filet de lieu sauce dieppoise', 'ambiguous -> nonveg')]"
Escalope de porc charcutière,False,"[('Escalope de porc charcutière', 'meat_or_fish')]"
Aiguillettes de poulet aux herbes,False,"[('Aiguillettes de poulet aux herbes', 'meat_or_fish')]"
Rôti de porc au jus,False,"[('Rôti de porc au jus', 'meat_or_fish')]"
Escaloppe de dinde label dijonnaise,False,"[('Escaloppe de dinde label dijonnaise', 'meat_or_fish')]"
Rôti de bœuf au jus,False,"[('Rôti de bœuf au jus', 'meat_or_fish')]"
Filet de lieu sauce crevette,False,"[('Filet de lieu sauce crevette', 'meat_or_fish')]"
Sot-l'y-laisse de dinde label sauce champignons,False,"[(""Sot-l'y-laisse de dinde label sauce champignons"", 'meat_or_fish')]"
Jambon braisé au jus,False,"[('Jambon braisé au jus', 'meat_or_fish')]"
Tajine de bœuf aux pruneaux,False,"[('Tajine de bœuf aux pruneaux', 'meat_or_fish')]"
Filet de lieu sauce moules,False,"[('Filet de lieu sauce moules', 'meat_or_fish')]"
Sauté de porc sauce charcutière,False,"[('Sauté de porc sauce charcutière', 'meat_or_fish')]"
Poulet rôti label au jus,False,"[('Poulet rôti label au jus', 'meat_or_fish')]"
nan,False,garbage
Tajine de bœuf aux pruneaux,False,"[('Tajine de bœuf aux pruneaux', 'meat_or_fish')]"
Filet de saumon sauce oseille,False,"[('Filet de saumon sauce oseille', 'meat_or_fish')]"
Rôti de dinde label au jus,False,"[('Rôti de dinde label au jus', 'meat_or_fish')]"
nan,False,garbage
Escalope de porc aux herbes,False,"[('Escalope de porc aux herbes', 'meat_or_fish')]"
Sauté d'agneau marengo,False,"[(""Sauté d'agneau marengo"", 'meat_or_fish')]"
Filet de lieu sauce poivrons,False,"[('Filet de lieu sauce poivrons', 'ambiguous -> nonveg')]"
Sauté label antillais,False,"[('Sauté label antillais', 'ambiguous -> nonveg')]"
Rôti de porc au jus,False,"[('Rôti de porc au jus', 'meat_or_fish')]"
Timbale milanaise,False,"[('Timbale milanaise', 'ambiguous -> nonveg')]"
Rôti de bœuf au jus,False,"[('Rôti de bœuf au jus', 'meat_or_fish')]"
Filet de lieu beurre citron,False,"[('Filet de lieu beurre citron', 'ambiguous -> nonveg')]"
Sauté de porc au curry,False,"[('Sauté de porc au curry', 'meat_or_fish')]"
Poulet basquaise,False,"[('Poulet basquaise', 'meat_or_fish')]"
Dos de cabillaud,False,"[('Dos de cabillaud', 'meat_or_fish')]"
REPAS DE SUBSTITUTION,False,garbage
Rôti de porc 1/2 sel/ cornichons,False,"[('Rôti de porc 1', 'meat_or_fish'), ('2 sel', 'ambiguous -> nonveg'), ('cornichons', 'ambiguous -> nonveg')]"
Sauté de poulet colombo,False,"[('Sauté de poulet colombo', 'meat_or_fish')]"
Filet de saumon sauce hollandaise,False,"[('Filet de saumon sauce hollandaise', 'meat_or_fish')]"
Rôti de bœuf au jus,False,"[('Rôti de bœuf au jus', 'meat_or_fish')]"
Galette/ saucisse,True,"[('Galette', 'veg_positive'), ('saucisse', 'meat_or_fish')]"
Filet de lieu sauce crevette,False,"[('Filet de lieu sauce crevette', 'meat_or_fish')]"
Escalope de porc,False,"[('Escalope de porc', 'meat_or_fish')]"
Hachis parmentier,False,"[('Hachis parmentier', 'ambiguous -> nonveg')]"
Rôti de veau au jus,False,"[('Rôti de veau au jus', 'meat_or_fish')]"
Poulet label rôti,False,"[('Poulet label rôti', 'meat_or_fish')]"
Sauté de bœuf aux olives,False,"[('Sauté de bœuf aux olives', 'meat_or_fish')]"
Filet de lieu sauce moules,False,"[('Filet de lieu sauce moules', 'meat_or_fish')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
