Plat,Est_Vegetarien,Est_Vegetarien_Ameliore,Est_Vegetarien_Final
Bœuf à la marocaine,False,False,False
Filet de saumon à l'oseille,False,False,False
Poulet basquaise,False,False,False
Saucisse,False,False,False
Rôti de dinde label au jus,False,False,False
Bœuf à la mrocaine,False,False,False
Filet de lieu à la grenobloise,False,False,False
Couscous de légumes,False,True,True
Rôti de porc au jus,False,False,False
Aiguillettes de poulet sauce tomate,False,False,False
Hachis parmentier,False,False,False
Filet de lieu sauce hollandaise,False,False,False
Rôti de dinde label au jus,False,False,False
Cassoulet,False,False,False
Escalope de poulet,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce crevette,False,False,False
Sauté de porc caramel,False,False,False
Poulet à l'ananas,False,False,False
Paëlla aux légumes,False,True,True
Bœuf flamand,False,False,False
Filet de saumon sauce crème,False,False,False
Poulet rôti label,False,False,False
Gratin de boulgour,False,True,True
Jambon braisé,False,False,False
Steak haché,False,False,False
Filet de lieu sauce tomate,False,False,False
Tartiflette,False,False,True
Poisson pané beurre citron,False,False,False
Escalope de poulet au paprika,False,False,False
Sauté de porc charcutier,False,False,False
Rôti de veau au jus,False,False,False
Blanquette de veau,False,False,False
Lasagnes de bœuf,False,False,False
Dos de cabillaud sauce moules,False,False,False
Poulet rôti,False,False,False
Rôti de porc aux herbes,False,False,False
Filet de saumon sauce beurre blanc,False,False,False
Tajine d'agneau aux abricots,False,False,False
Couscous de légumes,False,True,True
Saucisse grillée,False,False,False
Escalope de poulet,False,False,False
Tortis bolognaise,False,False,False
Filtet de lieu sauce crevette,False,False,False
Rôti de porc au jus,False,False,False
Sauté de poulet aux pruneaux,False,False,False
Gratin de pommes de terre au fromage,False,True,True
Bœuf bourguignon,False,False,False
Filet de lieu sauce moules,False,False,False
Rôti de dinde,False,False,False
Poulet rôti,False,False,False
Escalope de porc sauce charcutière,False,False,False
Tortis bolognaise,False,False,False
Filet de lieu sauce tomate,False,False,False
Saucisse,False,False,False
Sauté de poulet basquaise,False,False,False
Timbale de poisson au maquereau,False,False,False
Hachis parmentier,False,False,False
Omelette,False,True,True
Sauté de porc à l'indienne,False,False,False
Boulghour au légumes,False,True,True
Steak haché,False,False,False
Rôti de dinde farci et sa sauce,False,False,False
Filet de saumon beurre persillé,False,False,False
Tartiflette,False,False,True
Filet de lieu sauce beurre blanc,False,False,False
Rôti de veau aux herbes,False,False,False
Sot l'y laisse de dinde,False,False,False
Galette saucisse,False,False,False
Filet de lieu sauce oseille,False,False,False
Rôti de porc,False,False,False
Timbale milanaise,False,False,False
Blanquette de veau à l'ancienne,False,False,False
Sauté de poulet agenais,False,False,False
Rôti de dinde,False,False,False
Pizza aux 4 légumes,False,True,True
Escalope de porc sauce charcutière,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce tomate,False,False,False
Sauté de porc agenais,False,False,False
Poulet rôti label,False,False,False
Paëlla de légumes,False,True,True
Bœuf chasseur,False,False,False
Filet de saumon sauce oseille,False,False,False
Cassoulet,False,False,False
Sauté de poulet antillais,False,False,False
Escalope de dinde label à la crème,False,False,False
Tortis bolognaise,False,False,False
Filet de lieu sauce crevette,False,False,False
Émincé de dinde label aux champignons,False,False,False
Rôti de porc au jus,False,False,False
Steak haché,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce dieppoise,False,False,False
Poulet rôti,False,False,False
Saucisse,False,False,False
Couscous de légumes,False,True,True
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce moules,False,False,False
Rôti de porc au jus,False,False,False
Sauté de dinde label sauce louisianne,False,False,False
Escalope de poulet,False,False,False
Tajine d'agneau aux pruneaux,False,False,False
Filet de lieu sauce dieppoise,False,False,False
Poisson pané beurre citron,False,False,False
Timbale milanaise,False,False,False
Blanquette de veau,False,False,False
Galette saucisse,False,False,False
Steak haché,False,False,False
Poulet rôti label,False,False,False
Rôti de veau au jus,False,False,False
Escalope de dinde label sauce paprika,False,False,False
Tartiflette,False,False,True
Filet de saumon sauce béarnaise,False,False,False
Lasagne de légumes,False,True,True
Rôti de porc au jus,False,False,False
Dos de cabillaud beurre blanc,False,False,False
Hachis parmentier,False,False,False
Omelette,False,True,True
Sauté de porc charcutier,False,False,False
Gratin de boulghour,False,True,True
Aiguillettes de poulet sauce tomate,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce crevette,False,False,False
Rôti de dinde label au jus,False,False,False
Saucisse grillée,False,False,False
Omelette,False,True,True
Hachis parmentier,False,False,False
Filet de lieu sauce beurre blanc,False,False,False
Blanquette de dinde,False,False,False
Rôti de porc au jus,False,False,False
Paëlla de légumes,False,True,True
Bœuf bourguignon,False,False,False
Filet de saumon sauce oseille,False,False,False
Sauté de porc à la moutarde,False,False,False
Poulet rôti,False,False,False
Timbale milanaise,False,False,False
Bœuf bourguignon,False,False,False
Filet de lieu sauce tomate,False,False,False
Rôti de dinde label aux herbes,False,False,False
Couscous de légumes,False,True,True
Escalope de porc,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce dieppoise,False,False,False
Rôti de veau au jus,False,False,False
Sot l'y laisse de dinde label,False,False,False
Steak haché,False,False,False
Galette / saucisse,False,False,False
Filet de lieu beurre citron,False,False,False
Escalope de poulet aux champignons,False,False,False
Rôti de porc au jus,False,False,False
Blanquette de veau à l'ancienne,False,False,False
Curry d'agneau,False,False,False
Lasagnes de bœuf,False,False,False
Rôti de porc au jus,False,False,False
Omelette,False,True,True
Tajine d'agneau aux abricots,False,False,False
Filet de lieu sauce moules,False,False,False
Pizza aux légumes,False,True,True
Dos de cabillaud beurre persillé,False,False,False
Bœuf marocain,False,False,False
Sauté de porc agenais,False,False,False
Rôti de dinde label au jus,False,False,False
Poisson pané,False,False,False
Rôti de bœuf au jus,False,False,False
Galette saucisse,False,False,False
Rôti de porc au jus,False,False,False
Sauté de poulet antillais,False,False,False
Gratin de boulgour,False,True,True
Hachis parmentier,False,False,False
Filet de saumon beurre blanc,False,False,False
Rôti de dinde label sauce tomate,False,False,False
Filet de lieu sauce dieppoise,False,False,False
Escalope de porc charcutière,False,False,False
Aiguillettes de poulet aux herbes,False,False,False
Rôti de porc au jus,False,False,False
Escaloppe de dinde label dijonnaise,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce crevette,False,False,False
Sot-l'y-laisse de dinde label sauce champignons,False,False,False
Jambon braisé au jus,False,False,False
Tajine de bœuf aux pruneaux,False,False,False
Filet de lieu sauce moules,False,False,False
Sauté de porc sauce charcutière,False,False,False
Poulet rôti label au jus,False,False,False
,False,False,False
Tajine de bœuf aux pruneaux,False,False,False
Filet de saumon sauce oseille,False,False,False
Rôti de dinde label au jus,False,False,False
,False,False,False
Escalope de porc aux herbes,False,False,False
Sauté d'agneau marengo,False,False,False
Filet de lieu sauce poivrons,False,False,False
Sauté label antillais,False,False,False
Rôti de porc au jus,False,False,False
Timbale milanaise,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu beurre citron,False,False,False
Sauté de porc au curry,False,False,False
Poulet basquaise,False,False,False
Dos de cabillaud,False,False,False
REPAS DE SUBSTITUTION,False,False,False
Rôti de porc 1/2 sel/ cornichons,False,False,False
Sauté de poulet colombo,False,False,False
Filet de saumon sauce hollandaise,False,False,False
Rôti de bœuf au jus,False,False,False
Galette/ saucisse,False,False,False
Filet de lieu sauce crevette,False,False,False
Escalope de porc,False,False,False
Hachis parmentier,False,False,False
Rôti de veau au jus,False,False,False
Poulet label rôti,False,False,False
Sauté de bœuf aux olives,False,False,False
Filet de lieu sauce moules,False,False,False
Couscous de légumes,False,True,True
Rôti de porc au jus,False,False,False
Veau marengo,False,False,False
Escalope de porc charcutière,False,False,False
Poulet label rôti,False,False,False
Poisson pané beurre citron,False,False,False
Rôti de bœuf au jus,False,False,False
Gratin de pommes de terre fromagé,False,True,True
Filet de saumon,False,False,False
Filet de lieu sauce beurre blanc,False,False,False
Sauté de poulet sauce dijonnaise,False,False,False
Escalope de dinde label au jus,False,False,False
Hachis parmentier,False,False,False
Saucisse,False,False,False
Filet de lieu sauce crème,False,False,False
Poulet rôti,False,False,False
Sauté de bœuf aux olives,False,False,False
Rôti de porc au jus,False,False,False
Poisson pané sauce tomate,False,False,False
Aiguillettes de poulet provençale,False,False,False
Steak haché,False,False,False
Gratin de boulgour,False,True,True
Dos de cabillaud beurre citron,False,False,False
Rôti de dinde label au jus,False,False,False
Omelette,False,True,True
Pizza au fromage,False,False,True
Omelette,False,True,True
Jambon braisé ou rôti de dinde aux champignons,False,False,False
Bœuf sauce à la marocaine,False,False,False
Filet de lieu sauce crème,False,False,False
Colombo de poulet,False,False,False
Sauté de porc ou de poulet agenais,False,False,False
Escalope de dinde aux herbes,False,False,False
Tortis bolognaises,False,False,False
Filet de saumon à l'oseille,False,False,False
Omelette,False,True,True
Saucisse de porc ou de volaille,False,False,True
Rôti de dinde label au jus,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce grenobloise,False,False,False
Couscous de légumes,False,True,True
Rôti de porc ou de dinde au jus,False,False,False
Aiguillettes de poulet sauce tomates,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce hollandaise,False,False,False
Rôti de dinde label au jus,False,False,False
Cassoulet (saussice de porc ou de volaille),False,False,True
Escalope de poulet au jus,False,False,False
Bœuf flamand,False,False,False
Filet de lieu sauce crevette,False,False,False
Sauté de porc ou de dinde au caramel,False,False,False
Poulet à l'ananas,False,False,False
Paëlla de légumes,False,True,True
Rôti de bœuf au jus,False,False,False
Filet de saumon sauce crème,False,False,False
Poulet rôti label au jus,False,False,False
Gratin de boulgour,False,True,True
Jambon braisé ou rôti de dinde sauce madère,False,False,False
Coquillettes bolognaises,False,False,False
Filet de lieu sauce tomates,False,False,False
Tartiflette ou tartiflette de dinde,False,False,False
Poisson pané beurre citron,False,False,False
Escalope de poulet au paprika,False,False,False
Sauté de porc charcutier ou de dinde,False,False,False
Rôti de veau au jus,False,False,False
Rôti de dinde label aux châtaignes,False,False,False
Blanquette de veau,False,False,False
Rôti de porc ou de dinde aux herbes,False,False,False
Dos de cabillaud sauce crevette,False,False,False
Pizza au fromage,False,False,True
Omelette,False,True,True
Sauté de veau aux champignons,False,False,False
Rôti de veau au jus,False,False,False
Filet de saumon sauce beurre blanc,False,False,False
Couscous de légumes,False,True,True
Saucisse grillée ou saucisse de volaille,False,False,False
Escalope de poulet,False,False,False
Bœuf bourguignon,False,False,False
Filet de lieu sauce crevette,False,False,False
Rôti de porc au jus ou rôti de dinde au jus,False,False,False
Sauté de poulet aux pruneaux,False,False,False
Tartiflette (dés de porc ou dés de dinde),False,False,False
Bœuf bourguignon,False,False,False
Filet de lieu sauce moules,False,False,False
Rôti de dinde au jus label,False,False,False
Poulet rôti au jus,False,False,False
Escalope de porc sauce charcutière ou rôti de dinde,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce tomate,False,False,False
Saucisse grillée de porc ou de volaille,False,False,True
Sauté de poulet basquaise,False,False,False
Timbale de légumes,False,True,True
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce crème,False,False,False
Sauté de porc ou sauté de dinde à l'indienne,False,False,False
Boulghour de légumes,False,True,True
Steak haché,False,False,False
Rôti de dinde farci sauce champignons des bois,False,False,False
Filet de saumon beurre persillé,False,False,False
Rôti de porc au jus ou rôti de dinde au jus,False,False,False
Poulet rôti label,False,False,False
Jambon braisé aux champignons ou rôti de dinde,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce beurre blanc,False,False,False
Dos de cabillaud sauce crème,False,False,False
Rôti de veau aux herbes,False,False,False
Sot-l'y-laisse de dinde sauce tomate,False,False,False
Galette saucisse de porc ou de dinde,False,False,False
Rôti de porc au jus ou rôti de dinde au jus,False,False,False
Timbale milanaise au jambon ou de volaille,False,False,True
Blanquette de veau à l'ancienne,False,False,False
Filet de lieu sauce oseille,False,False,False
Lasagnes de légumes,False,True,True
Omelette,False,True,True
Escalope de porc ou de volaille sauce charcutière,False,False,True
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce crème,False,False,False
Poulet rôti label,False,False,False
Sauté de porc au curry ou sauté de dinde ou curry,False,False,True
Escalope de dinde label à la crème,False,False,False
Bœuf bourguignon,False,False,False
Filet de saumon sauce oseille,False,False,False
Gratin de boulgour,False,True,True
Sauté de poulet antillais,False,False,False
Jambon braisé sauce madère ou rôti de dinde label,False,False,False
Bœuf bourguignon,False,False,False
Filet de lieu sauce crevette,False,False,False
Émincé de dinde label aux champignons,False,False,False
Couscous de légumes,False,True,True
Steak haché,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce dieppoise,False,False,False
Rôti de porc au jus ou rôti de dinde au jus,False,False,False
Paëlla de légumes,False,True,True
Sauté de dinde label rouge dijonnais,False,False,False
Tajine de veau aux pruneaux,False,False,False
Filet de lieu sauce moules,False,False,False
"Chili aux légumes (riz, ratatouille)",False,True,True
Poulet rôti,False,False,False
Poisson pané sauce tomate,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de saumon sauce béarnaise,False,False,False
Omelette,False,True,True
Dos de cabillaud sauce hollandaise,False,False,False
Timbale milanaise au jambon de porc ou de dinde,False,False,False
Pot-au-feu et ses légumes,False,True,True
Saucisses de porc ou de volaille,False,False,True
Poisson pané,False,False,False
Tartiflette aux lardons ou dés de dinde,False,False,False
Rôti de veau au jus,False,False,False
Galette saucisse de porc ou de dinde,False,False,False
Steak haché,False,False,False
Poulet rôti,False,False,False
Blanquette de veau,False,False,False
Escalope de dinde Label sauce paprika,False,False,False
Tortis à la carbonara (lardons ou dés de dinde),False,False,False
Filet de lieu sauce crème,False,False,False
Lasagne de bœuf,False,False,False
Omelette,False,True,True
Escalope de porc ou volaille dijonnaise,False,False,True
Hachis parmentier,False,False,False
Filet de saumon à l’oseille,False,False,False
Gratin de boulgour,False,True,True
Rôti de porc au jus OU rôti de dinde au jus,False,False,False
Navarin d'agneau,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu/ beurre persillé,False,False,False
Paëlla aux légumes,False,True,True
Poulet rôti au jus,False,False,False
Jambon braisé OU rôti de dinde sauce aux champignons,False,False,False
Tortis bolognaise,False,False,False
Filet de lieu sauce crevette,False,False,False
Couscous de légumes,False,True,True
Escaloppe de dinde/ sauce charcutière,False,False,False
Sauté de bœuf flamand,False,False,False
Filet de lieu/ sauce tomate,False,False,False
Omelette,False,True,True
Saucisse OU saucisse de volaille,False,False,False
Escaloppe de poulet au paprika,False,False,False
Rôti de veau au jus,False,False,False
Filet de saumon/ sauce ciboulette,False,False,False
Gratin de boulgour,False,True,True
Rôti de porc au jus OU Rôti de dinde au jus,False,False,False
"Émincé de volaille, sauce louisianne",False,False,True
Bœuf bourguignon,False,False,False
Filet de lieu/ sauce moules,False,False,False
Chili aux légumes,False,True,True
Poulet rôti au jus,False,False,False
Rôti de porc aux herbes OU rôti de dinde aux herbes,False,False,False
Poisson pané,False,False,False
Rôti de veau au jus,False,False,False
Œufs durs/ sauce aurore,False,False,False
Dos de cabillaud/ sauce crème,False,False,False
Tartiflette dés de porc OU dés de dinde,False,False,False
Blanquette de veau,False,False,False
,False,False,False
,False,False,False
Omelette,False,True,True
Lasagnes de bœuf,False,False,False
Sauté de poulet/ sauce aux champignons,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu/ sauce crevette,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
,False,False,False
Parmentier de légumes,False,True,True
Poulet label au jus,False,False,False
"Escalope de dinde label, sauce tomate",False,False,True
Steak haché,False,False,False
"Filet de lieu, beurre citron",False,False,False
Gratin de boulgour,False,True,True
Sauté de poulet antillais,False,False,False
Rôti de porc aux herbes OU rôti de dinde aux herbes,False,False,False
Sauté de bœuf flamand,False,False,False
Filet de lieu sauce crème,False,False,False
Tortis bolognaise,False,False,False
"Filet de lieu, sauce beurre blanc",False,False,False
Veau marengo,False,False,False
Omelette,False,True,True
Galette/ Saucisse OU saucisse de volaille,False,False,False
Rôti de bœuf froid,False,False,False
Riz safrané aux légumes,False,True,True
Sauté de porc charcutier OU Rôti de dinde charcutière,False,False,False
Rôti de veau au jus,False,False,False
"Œufs durs, sauce aurore",False,False,False
Poulet rôti label au jus,False,False,False
Rôti de bœuf froid,False,False,False
Timbale milanaise,False,False,False
"Filet de lieu, sauce provençale",False,False,False
Riz safrané aux légumes,False,True,True
"Sauté de bœuf, sauce marocaine",False,False,False
Rôti de porc au jus OU rôti de dinde au jus,False,False,False
Poisson pané,False,False,False
Tajine d'agneau aux pruneaux,False,False,False
Courgettes parmentieres,False,True,True
Escalope de dinde label aux herbes,False,False,False
Galette / tomate/ fromage,False,False,True
"Filet de lieu, sauce beurre blanc",False,False,False
Paëlla de dinde,False,False,False
Poulet rôti label au jus,False,False,False
Parmentier de légumes,False,True,True
,False,False,False
,False,False,False
Lasagne de bœuf,False,False,False
Omelette,False,True,True
Jambon braisé aux champignons,False,False,False
Coquillettes bolognaise,False,False,False
Filet de saumon,False,False,False
Poulet rôti label au jus,False,False,False
Semoule aux légumes de couscous,False,True,True
Escalope de porc OU rôti de dinde label aux herbes,False,False,False
Sauté de bœuf flamand,False,False,False
Filet de lieu aux petits légumes,False,False,False
Gratin de boulghour,False,True,True
Saucisse de porc OU saucisse de volaille,False,False,False
Escalope de dinde label sauce crème,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu,False,False,False
Sauté de poulet label marengo,False,False,False
Gratin de pommes de terre au fromage frais,False,True,True
Jambon braisé OU rôti de dinde label,False,False,False
"Sauté de bœuf, sauce marocaine",False,False,False
Filet de lieu,False,False,False
Omelette,False,True,True
Sauté de porc  OU sauté de dinde dijonnais,False,False,False
Sauté de dinde label agenais,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de saumon,False,False,False
Sauté de porc OU sauté de volaille à la tomate,False,False,True
Chili aux légumes,False,True,True
"Escalope de dinde label, sauce charcutière",False,False,False
Parmentier crécy,False,False,False
"Filet de lieu, sauce beurre citron",False,False,False
Riz safrané aux légumes,False,True,True
Rôti de porc OU rôti de dinde aux herbes label,False,False,False
Tartiflette de porc OU de dinde label,False,False,False
Navarin d'agneau,False,False,False
"Filet de lieu, sauce suchet",False,False,False
Sauté de poulet label antillais,False,False,False
Parmentier de légumes,False,True,True
Rôti de veau au jus,False,False,False
Galette Saucisse OU saucisse de volaille,False,False,False
Filet de lieu,False,False,False
Poisson pané,False,False,False
Blanquette de veau à l'ancienne,False,False,False
Rôti de dinde label agenais,False,False,False
Galette tomate/fromage,False,False,True
Lasagnes de bœuf,False,False,False
Omelette,False,True,True
"Jambon braisé, sauce chasseur OU röti de dinde label",False,False,False
Rôti de bœuf au jus,False,False,False
"Filet de lieu, sauce crème",False,False,False
Chili aux légumes,False,True,True
Poulet rôti label au jus,False,False,False
"Escalope de porc OU rôti de dinde, sauce charcutière",False,False,False
Rôti de bœuf au jus,False,False,False
Filet de saumon,False,False,False
Semoule aux légumes de couscous,False,True,True
Rôti de porc OU sauté de dinde au jus,False,False,False
"Sauté de dinde label, sauce paprika",False,False,True
Tortis bolognaise,False,False,False
"Filet de lieu, sauce dugléré",False,False,False
Sauté de porc OU sauté de dinde forestier,False,False,False
Gratin de boulghour,False,True,True
Escalope de dinde label à la crème,False,False,False
Hachis parmentier,False,False,False
"Filet de lieu, sauce bonne femme",False,False,False
"Œufs, sauce aurore",False,False,False
Émincé de poulet au curry,False,False,False
Navarin d'agneau,False,False,False
Rôti de bœuf au jus,False,False,False
"Filet de lieu, sauce suchet",False,False,False
Gratin de pommes de terres ail et fines herbes,False,True,True
Sauté de porc OU santé de dinde forestier,False,False,False
"Escalope de dinde label, sauce chasseur",False,False,False
Hachis parmentier,False,False,False
"Filet de saumon, sauce oseille",False,False,False
Poulet rôti au jus,False,False,False
Sauté de chapon et sa sauce,False,False,False
Steak haché,False,False,False
Parmentier de légumes,False,True,True
Filet de lieu,False,False,False
Sauté de veau marengo,False,False,False
"Galette, tomates, fromage",False,False,True
"Filet de lieu, sauce dieppoise",False,False,False
Chili de légumes,False,True,True
"Rôti de veau, sauce châtaigne",False,False,False
"Filet de lieu, sauce hollandaise",False,False,False
Lasagne de bœuf,False,False,False
Omelette,False,True,True
Escalope de porc OU rôti de dinde label sauce charcutière,False,False,False
Rôti de veau au jus,False,False,False
Filet de saumon,False,False,False
Sauté de porc dijonnais OU rôti de dinde label,False,False,False
Gratin de boulgour,False,True,True
Escalope de dinde label sauce champignons,False,False,False
Tortis bolognaise,False,False,False
Filet de lieu sauce tomate,False,False,False
Couscous de légumes,False,True,True
Sauté de porc OU de dinde label au caramel,False,False,False
Rôti de dinde label aux herbes,False,False,False
Tortis bolognaise,False,False,False
Filet de lieu,False,False,False
Sauté de porc OU rôti de dinde label sauce dijonnaise,False,False,False
Parmentier de légumes d'hiver,False,True,True
Sauté de poulet antillais,False,False,False
Pot-au-feu et ses légumes,False,True,True
Filet de lieu,False,False,False
Saucisse OU saucisse de volaille,False,False,False
Chili de légumes,False,True,True
Filet de poulet sauce louisiane,False,False,False
Hachis parmentier,False,False,False
Filet de saumon,False,False,False
Sauté de porc sauce aux marrons OU sauté de dinde label,False,False,False
Poulet rôti label,False,False,False
Rôti de veau au jus,False,False,False
Galette/ tomate/ fromage,False,False,True
Poisson pané beurre citron,False,False,False
Œuf sauce aurore,False,False,False
Sauté de veau marengo,False,False,False
Escalope de dinde label sauce barbecue,False,False,False
Croziflette,False,False,False
Filet de lieu,False,False,False
Lasagnes de bœuf,False,False,False
Omelette,False,True,True
Jambon braisé sauce champignons OU rôti de dinde label,False,False,False
Rôti de bœuf au jus,False,False,False
Filet de lieu sauce tomate,False,False,False
Semoule aux légumes de couscous,False,True,True
Sauté de porc OU de dinde au paprika,False,False,False
Rôti de dinde label aux raisins,False,False,False
Bœuf marocain,False,False,False
Filet de lieu,False,False,False
Gratin de boulgour,False,True,True
Sauté de poulet yassa,False,False,False
Escalope de porc OU rôti de dinde sauce diable,False,False,False
Hachis parmentier,False,False,False
Filet de saumon,False,False,False
Gratin de pommes de terre au fromage frais,False,True,True
Sauté de porc OU de dinde au paprika,False,False,False
Aiguillettes poulet sauce louisiane,False,False,False
Rôti de veau au jus,False,False,False
Filet de lieu sauce tomate,False,False,False
Sauté de porc OU de dinde au paprika,False,False,False
Riz safrané aux légumes,False,True,True
Escalope de dinde label au jus,False,False,False
Pot-au-feu et ses légumes,False,True,True
Filet de lieu,False,False,False
Poulet label,False,False,False
Omelette,False,True,True
Tartiflettes (dés de porc OU de dinde),False,False,False
Pot-au-feu et ses légumes,False,True,True
Filet de lieu aux petits légumes,False,False,False
Blanquette de veau,False,False,False
Poisson pané beurre citron,False,False,False
Sauté de dinde label sauce chasseur,False,False,False
Rôti de porc OU de dinde label au jus,False,False,False
Galette/ tomate/ fromage,False,False,True
Rôti de veau au jus,False,False,False
Filet de poulet sauce crème,False,False,False
Œuf dur/ sauce aurore,False,False,False
Sauté d'agneau irish stew,False,False,False
Filet de saumon,False,False,False
Lasagnes de légumes,False,True,True
Jambon braisé OU rôti de dinde sauce champignons,False,False,False
Bolognaise,False,False,False
